    REPORTE PEDIDOS REALIZADOS POR FECHA
============================================
                 24/08/2023
--------------------------------------------
      DNI           PRODUCTO    CANTIDAD
============================================
                 04/09/2023
--------------------------------------------
      DNI           PRODUCTO    CANTIDAD
--------------------------------------------
    33397650        IHG-413         3
    69324480        JCW-489         5
    50375303        KQA-580         5
    32565207        IDO-503         6
    63437380        III-576         5
    91897732        TMN-884         2
    31611146        YOT-530         4
    85949265        JFC-432         4
    12663268        RAH-420         3
    88956889        YUQ-590         2
    38913831        BCN-855         3
    44229880        JXD-139         4
    42928709        XLF-273         4
    88956889        UWA-476         3
    66409237        BRD-969         3
    42928709        QFP-254         5
    26233063        UWA-476         1
    35565959        QRC-609         5
    50375303        YJD-279         5
    27912250        QFR-958         3
    88995291        MTF-868         3
    69975105        FQG-293         5
    76388967        PFD-286         6
    77191257        ZWF-661         4
    91897732        PFD-286         2
    36380447        HLR-109         2
    50375303        VXS-438         4
    25171011        DFJ-952         4
    48184351        TXM-139         1
    45783712        YMU-875         4
    94080926        SPR-580         5
============================================
                 30/08/2023
--------------------------------------------
      DNI           PRODUCTO    CANTIDAD
--------------------------------------------
    97403853        KQQ-136         6
    50365593        AFL-718         5
    83505958        TYF-885         5
    63437380        AWB-345         4
    19829266        TXM-139         3
    32821689        ONB-903         3
    96258632        QHC-492         2
    69975105        WZD-331         6
    79140840        OTH-462         1
    87800799        GBD-525         6
    62566305        GXF-122         5
    42928709        QIL-029         4
    23928045        TKM-141         5
    32565207        TKM-141         4
    26290971        GKG-558         3
    86402303        RBE-789         6
    48184351        KQA-580         2
    85949265        VRR-793         5
    15210391        DON-719         2
    89429489        VCL-867         6
    35565959        JXD-139         5
    96659352        KQQ-136         3
    62324793        XBD-314         5
    89863424        QRC-609         3
    97403853        GBJ-693         4
    73185299        AVM-258         3
    15210391        AQS-362         2
    45877001        KBY-991         6
============================================
                 22/08/2023
--------------------------------------------
      DNI           PRODUCTO    CANTIDAD
--------------------------------------------
    78757121        OQI-373         3
    71984468        PQH-935         2
    43488351        XLF-273         5
    15210391        RSE-049         5
    78078115        XZR-640         5
    77484838        BTO-226         4
    25171011        OPT-996         6
    95161027        VJI-529         2
    27912250        LWG-915         4
    15561764        JYQ-045         6
    78757121        ZXK-295         4
    76388967        RSE-049         6
    37110873        GXF-122         2
    16151792        WZD-331         3
    73535476        CIM-038         3
    89298238        QTK-083         3
    78078115        DFF-034         2
    77484838        YUQ-590         6
    35584593        KCO-488         1
    78078115        TMJ-043         3
    38913831        YZD-580         1
    87800799        QRC-609         1
    66409237        ICX-503         5
    86241107        HFC-845         3
    36008913        HFC-845         6
    64394265        YYK-309         6
    32821689        ISU-815         1
    26290971        TZY-323         5
    77191257        AVM-258         6
    52097922        MMA-577         2
    84165595        QHC-492         4
    93845419        NSR-955         2
    27912250        LWG-915         1
    20864087        SPR-580         1
    94080926        OTW-288         5
    80048864        BWD-036         3
============================================
                 26/08/2023
--------------------------------------------
      DNI           PRODUCTO    CANTIDAD
--------------------------------------------
    27912250        ICX-503         1
    86828079        MQR-442         3
    49087435        BCK-361         3
    78922174        AFL-718         5
    11602775        JJN-837         1
    79475585        BWD-036         5
    17972674        UWA-476         4
    71378466        BIT-434         4
    83505958        MQR-442         1
    77484838        AFL-718         1
    95161027        VVS-017         5
    54761731        DEV-433         3
    45828535        QJO-060         6
    83236386        OPT-996         2
    42157219        III-576         6
    38637282        FLJ-040         6
    59407188        RDT-761         5
    78757121        GXF-122         1
    90365520        EUZ-452         6
    13245501        HFC-845         6
    78757121        ARS-231         4
    24995742        BWD-036         1
    86402303        OQI-373         3
    57690875        XLF-273         4
    94080926        CIM-038         2
    54761731        ZVA-180         4
    42157219        KWP-672         6
    54761731        VZV-827         1
    29337157        WZD-331         4
    73535476        KJX-387         4
    77191257        TZY-323         3
    27912250        FLJ-040         3
    32904023        KQQ-136         1
    99842319        ZAF-449         1
    57263719        ZWF-661         5
    81114108        VCL-867         1
    31611146        XSD-310         1
    40348917        VRR-793         3
    79901434        TXM-139         2
    26976877        XZG-521         3
============================================
                 29/08/2023
--------------------------------------------
      DNI           PRODUCTO    CANTIDAD
--------------------------------------------
    98140264        DFF-034         2
    25171011        VCL-867         3
    76388967        EBI-299         5
    16552775        CNN-411         5
    46462527        KWP-672         3
    79464412        NSM-283         2
    52097922        OWN-701         2
    71463316        KCO-488         5
    77642521        DFJ-952         5
    53166028        QHC-492         1
    45877001        PJG-338         2
    77484838        UDR-957         3
    71463316        EBI-299         6
    88956889        HFM-021         6
    29847168        BCK-361         1
    55552996        SJD-818         1
    87800799        WZD-331         2
    43053402        VRR-793         2
    16151792        AQS-362         1
    81114108        RBE-789         2
    62324793        FQG-293         1
    87800799        BTO-226         3
    44229880        SNY-500         3
    20864087        YUQ-590         5
    31193794        BXY-119         5
    86241107        FEG-454         2
    95161027        FQG-293         4
    69639726        DON-719         1
    53166028        ONB-903         3
    45828535        YMU-875         5
    71378466        XSD-310         3
============================================
                 25/08/2023
--------------------------------------------
      DNI           PRODUCTO    CANTIDAD
--------------------------------------------
    57263719        TZY-323         6
    87800799        KWP-672         2
    35565959        CIM-038         4
    77642521        QUU-384         5
    79901434        AHB-459         3
    67418025        QUU-384         1
    79140840        TYF-885         2
    11602775        XLF-273         4
    62566305        DIQ-718         4
    40348917        SNY-500         4
    83236386        MTF-868         2
    52097922        GBD-525         5
    16151792        CNQ-172         1
    32821689        MMA-577         5
    26976877        JXD-139         2
    73535476        LDR-510         2
    96258632        EBI-299         5
    62324793        YJD-279         5
    13245501        ZWF-661         1
    87800799        ICX-503         2
    73786035        AQS-362         1
    58187172        KBY-991         6
    71378466        OQI-373         1
    88995291        HLR-109         2
    95751208        BWD-036         3
    87800799        EUZ-452         2
    57263719        YOT-530         5
    93845419        AWB-345         5
    19829266        UXG-019         2
    93160528        DUG-251         2
    50375303        SJQ-827         2
    42798099        RDT-761         6
    49087435        AFL-718         1
    45783712        SNY-500         5
    77484838        YGV-332         3
============================================
                 31/08/2023
--------------------------------------------
      DNI           PRODUCTO    CANTIDAD
--------------------------------------------
    35584593        SSD-176         4
    73185299        OTH-462         3
    45783712        YUQ-590         2
    62324793        LDR-510         1
    37110873        QUU-384         4
    71463316        AWT-354         4
    46462527        LWG-915         6
    87800799        VRR-793         2
    25171011        AWB-345         6
    22777006        FCN-617         1
    90237332        QFP-254         3
    48467976        JDQ-505         5
    45828535        XSD-310         4
    90365520        KBY-991         6
    54716824        UDR-957         1
    37110873        VDD-853         4
    54716824        ZEX-027         6
    81114108        DFF-034         5
    64394265        OFS-384         5
    42798099        CNN-411         6
    13245501        QIL-029         2
    86402303        HFM-021         6
    89148118        EBI-299         6
    87813843        OQI-373         1
    93845419        QIL-029         6
    67418025        FEG-454         2
    69975105        TMJ-043         6
    97403853        YJD-279         3
============================================
                 05/09/2023
--------------------------------------------
      DNI           PRODUCTO    CANTIDAD
--------------------------------------------
    60574154        BWD-036         2
    13245501        XOA-735         5
    46462527        KCO-488         4
    93845419        CIM-038         5
    63437380        KQA-580         2
    54716824        SPR-580         3
    55552996        UXG-019         6
    42798099        AQS-362         1
    80048864        RDT-761         5
    43877279        TYF-885         5
    98589725        VRR-793         1
    22280452        XSD-310         2
    16151792        TZY-323         3
    89298238        JXD-139         3
    12663268        BMJ-772         1
    64394265        YUQ-590         1
    76388967        DOV-560         2
    69324480        VJI-529         1
    73914283        BRD-969         3
    62566305        CNQ-172         3
    13245501        KJX-387         5
    89298238        ICX-503         3
    67418025        YYU-726         6
============================================
                 23/08/2023
--------------------------------------------
      DNI           PRODUCTO    CANTIDAD
--------------------------------------------
    31193794        JDC-028         1
    89148118        TKM-141         6
    29337157        QHC-492         6
    90237332        PFD-286         4
    89298238        PFD-286         2
    55552996        AQS-362         1
    81114108        BCN-855         4
    22280452        VRR-793         5
    69324480        VXS-438         3
    79464412        MTF-868         6
    93160528        BRD-969         5
    43488351        QTK-083         6
    93160528        QTK-083         3
    76388967        CNQ-172         6
    89298238        YOT-530         1
    89429489        QUU-384         1
    50365593        ZVA-180         6
    83236386        OFS-384         1
    81114108        OFS-384         3
    23928045        LWG-915         2
    73185299        QFP-254         5
    78922174        XBD-314         2
    87813843        LDR-510         6
    78078115        PJG-338         2
    79372768        SAM-013         1
    64394265        OTW-288         5
    77642521        YYU-726         2
    12663268        QFP-254         5
============================================
                 02/09/2023
--------------------------------------------
      DNI           PRODUCTO    CANTIDAD
--------------------------------------------
    86828079        QIL-029         5
    79901434        OBI-353         6
    20864087        BXY-119         4
    37110873        SSD-176         1
    41036366        SJD-818         4
    98140264        BRD-969         1
    84165595        RDT-761         6
    50365593        JDC-028         6
    15210391        TZY-323         3
    95161027        III-576         5
    20864087        JFC-432         1
    50375303        AFL-718         1
    42928709        OQI-373         5
    43053402        MMA-577         6
    78922174        EJW-346         6
    98140264        CJE-310         3
    94080926        TXM-139         5
    20864087        JDQ-505         6
    66409237        DFF-034         4
    66409237        AWT-354         6
    88956889        MYC-756         4
    24995742        DON-719         3
    88956889        UWA-476         6
    32904023        QFP-254         4
    89298238        YOT-530         4
    79372768        GLC-370         4
    32821689        MTF-868         5
    59407188        LYZ-614         3
    55552996        QTK-083         1
    50365593        TMN-884         6
    15210391        VXS-438         4
    33397650        VJI-529         6
    13245501        BXY-119         5
    69324480        DIQ-718         1
    78078115        DFJ-952         5
    29337157        HFM-021         4
    77191257        KWP-672         2
    89863424        FVB-607         1
    79420973        GXF-122         3
    33713901        UWA-476         2
    90237332        TKM-141         3
    89429489        BXY-119         3
    90365520        VDD-853         5
    79372768        EUZ-452         5
    53166028        TXM-139         3
    45783712        SSD-176         6
    57263719        DOV-560         4
    40348917        DFJ-952         2
    79140840        QRC-609         5
============================================
                 21/08/2023
--------------------------------------------
      DNI           PRODUCTO    CANTIDAD
--------------------------------------------
    57690875        CSZ-863         5
    11602775        CIM-038         4
    29337157        ZEX-027         3
    49087435        VDD-853         2
    62566305        TYF-885         4
    45877001        VVS-017         4
    83505958        EJW-346         3
    98140264        QHC-492         4
    40348917        WZD-331         3
    90365520        KWP-672         6
    45783712        QFR-958         3
    49087435        SJQ-827         1
    89429489        VXS-438         1
    17913944        IHG-413         4
    81114108        VRR-793         4
    90237332        PVZ-181         5
    40348917        FLJ-040         2
    37110873        UWA-476         2
    55552996        FQG-293         1
    85949265        TMJ-043         6
    71463316        QFP-254         6
    26233063        ZAF-449         2
    90365520        OPJ-039         1
    69639726        OPT-996         3
    49087435        PJG-338         1
    79140840        TMN-884         5
    91897732        WLL-607         1
    71984468        JJN-837         5
    15210391        HFM-021         1
    17972674        UTN-601         1
    49087435        XZR-640         6
    25171011        VCL-867         1
    85949265        YUQ-590         2
    43043986        TXM-139         3
    38913831        JFC-432         3
    11602775        TMJ-043         6
    17913944        YJD-279         5
    81114108        DUG-251         5
    50365593        TZY-323         1
    32904023        SAM-013         3
    40112594        EBI-299         3
    44229880        HLR-109         5
    58187172        VXS-438         2
    15561764        RAH-420         4
    95161027        TZY-323         5
    77191257        BWD-036         5
    32565207        ZWF-661         6
============================================
                 01/09/2023
--------------------------------------------
      DNI           PRODUCTO    CANTIDAD
--------------------------------------------
    28390487        GLC-370         2
    84165595        DFJ-952         1
    50365593        LWG-915         3
    83236386        UJV-290         5
    73185299        QHC-492         3
    13245501        VXS-438         3
    42798099        TMN-884         5
    32904023        DUG-251         4
    96659352        ADX-669         4
    89148118        AFL-718         1
    77191257        QVJ-982         5
    91897732        XZR-640         5
    93160528        YYU-726         1
    89298238        UJV-290         4
    43488351        DIQ-718         6
    78078115        FQG-293         4
    43043986        SSD-176         5
    40348917        BMJ-772         1
    78922174        XBD-314         3
    35565959        BZS-261         1
    87813843        XSD-310         3
    17913944        DEN-125         1
    79420973        SSE-115         5
    16151792        IDO-503         6
    22280452        UCX-285         3
    71984468        TZY-323         1
    19829266        RDT-761         3
    86241107        UXG-019         2
    84165595        HFM-021         6
    31611146        FVQ-662         4
    77191257        ZEX-027         6
    41036366        QVJ-982         4
    79140840        JXD-139         4
    49087435        III-576         2
============================================
